DJ,NASDAQ,SP
7906.50,1619.36,980.28
8545.72,1770.51,1049.34
8799.81,1835.68,1101.75
9063.37,1868.41,1111.75
8899.95,1778.87,1090.82
8952.02,1894.74,1133.84
8883.29,1872.39,1120.67
7539.07,1499.25,957.28
7842.62,1693.84,1017.01
8592.10,1771.39,1098.67
9116.55,1949.54,1163.63
9181.43,2192.69,1229.23
9358.83,2505.89,1279.64
9306.58,2288.03,1238.33
9786.16,2461.40,1286.37
10789.00,2542.85,1335.18
10560.00,2470.52,1301.84
10971.00,2686.12,1372.71
10655.00,2638.49,1328.72
10829.00,2739.35,1320.41
10337.00,2746.16,1282.71
10732.00,2966.43,1362.93
10878.00,3336.16,1388.91
11497.00,4069.31,1469.25
10941.00,3940.35,1394.46
10128.00,4696.69,1366.42
10921.00,4572.83,1498.58
10734.00,3860.66,1452.43
10522.00,3400.91,1420.60
10448.00,3966.11,1454.60
10522.00,3766.99,1430.83
11215.00,4206.35,1517.68
10651.00,3672.82,1436.51
10971.00,3369.63,1429.40
10414.00,2597.92,1314.95
10787.00,2470.52,1320.28
10887.00,2772.73,1366.01
10495.00,2151.83,1239.94
9879.00,1840.26,1160.33
10735.00,2116.24,1249.46
10912.00,2110.49,1255.82
10497.00,2169.31,1224.38
10523.00,2027.13,1211.23
9950.00,1805.43,1133.58
8847.00,1498.80,1040.94
9075.00,1690.20,1059.78
9851.00,1930.57,1139.45
10022.00,1950.44,1148.08
9920.00,1934.06,1130.20
10106.00,1731.52,1106.73
10404.00,1845.35,1147.39
9946.00,1687.89,1076.92
9925.00,1615.73,1067.14
9243.00,1464.99,989.82
8737.00,1328.27,911.62
8664.00,1314.85,916.07
7592.00,1172.06,815.28
8397.00,1329.75,885.76
8862.57,1478.78,936.31
8341.63,1335.51,879.82
8053.80,1320.91,855.70
7891.10,1337.52,841.15
7992.10,1341.17,848.18
8480.10,1464.31,916.92
8850.30,1595.91,963.59
8985.40,1622.80,974.50
9233.80,1735.02,990.31
9415.80,1810.45,1008.01
9275.10,1786.94,995.97
9801.10,1932.21,1050.71
9782.50,1960.26,1058.20
10409.95,2006.68,1111.92
10488.07,2066.15,1131.13
10583.92,2029.82,1144.94
10357.70,1994.22,1126.21
10225.57,1920.15,1107.30
10188.45,1986.74,1120.68
10435.48,2047.79,1140.84
10139.71,1887.36,1101.72
10173.92,1838.10,1104.24
10080.27,1896.84,1114.58
10035.73,1984.79,1130.20
10428.02,2096.81,1173.82
10783.01,2175.44,1211.92
10489.94,2062.41,1181.27
10766.23,2051.72,1203.60
10503.76,1999.23,1180.59
10192.51,1921.65,1156.85
10467.48,2068.22,1191.50
10274.97,2056.96,1191.33
10640.91,2184.83,1234.18
10481.60,2152.09,1220.33
10568.70,2151.69,1228.81
10440.07,2120.30,1207.01
10805.87,2232.82,1249.48
10717.50,2205.32,1248.29
10864.86,2305.82,1280.08
10993.41,2281.39,1280.66
11109.32,2339.79,1294.87
11367.14,2322.57,1310.61
11168.31,2178.88,1270.09
11150.22,2172.09,1270.20
11185.68,2091.47,1276.66
11381.15,2183.75,1303.82
